country,year,tot_population
Uganda,1950,5672000
Uganda,1951,5829000
Uganda,1952,5990000
Uganda,1953,6157000
Uganda,1954,6330000
Uganda,1955,6509000
Uganda,1956,6694000
Uganda,1957,6886000
Uganda,1958,7086000
Uganda,1959,7293000
Uganda,1960,7510000
Uganda,1961,7726000
Uganda,1962,7951000
Uganda,1963,8187000
Uganda,1964,8435000
Uganda,1965,8694000
Uganda,1966,8964000
Uganda,1967,9246000
Uganda,1968,9541000
Uganda,1969,9851000
Uganda,1970,10162000
Uganda,1971,10473000
Uganda,1972,10760000
Uganda,1973,11011000
Uganda,1974,11281000
Uganda,1975,11576000
Uganda,1976,11885000
Uganda,1977,12205000
Uganda,1978,12534000
Uganda,1979,12870000
Uganda,1980,13153000
Uganda,1981,13415000
Uganda,1982,13712000
Uganda,1983,14048000
Uganda,1984,14409000
Uganda,1985,14827000
Uganda,1986,15251000
Uganda,1987,15722000
Uganda,1988,16226000
Uganda,1989,16753000
Uganda,1990,17305000
Uganda,1991,17869000
Uganda,1992,18475000
Uganda,1993,19129000
Uganda,1994,19797000
Uganda,1995,20453000
Uganda,1996,20909000
Uganda,1997,21590000
Uganda,1998,22164000
Uganda,1999,22912000
Uganda,2000,23647000
Uganda,2001,24395000
Uganda,2002,25132000
Uganda,2003,25958000
Uganda,2004,26751000
Uganda,2005,27541000
Uganda,2006,28352000
Uganda,2007,29194000
Uganda,2008,30065000
Uganda,2009,30954000
Uganda,2010,31871000
Uganda,2011,32813000
Uganda,2012,33779000
Uganda,2013,34768000
Uganda,2014,35779000
Uganda,2015,36894000
Uganda,2016,38061000
Uganda,2017,39436000
Uganda,2018,40818000
Uganda,2019,42212000
Uganda,2020,43686000
Uganda,2021,45123000
United States of America,1950,147096000
United States of America,1951,149467000
United States of America,1952,151730000
United States of America,1953,154154000
United States of America,1954,156749000
United States of America,1955,159663000
United States of America,1956,162610000
United States of America,1957,165517000
United States of America,1958,168381000
United States of America,1959,171913000
United States of America,1960,174736000
United States of America,1961,177641000
United States of America,1962,180534000
United States of America,1963,183302000
United States of America,1964,185998000
United States of America,1965,188557000
United States of America,1966,190850000
United States of America,1967,192812000
United States of America,1968,194752000
United States of America,1969,196734000
United States of America,1970,198984000
United States of America,1971,201672000
United States of America,1972,204143000
United States of America,1973,206333000
United States of America,1974,208296000
United States of America,1975,210260000
United States of America,1976,212289000
United States of America,1977,214251000
United States of America,1978,216624000
United States of America,1979,219139000
United States of America,1980,221787000
United States of America,1981,224493000
United States of America,1982,226815000
United States of America,1983,229187000
United States of America,1984,231593000
United States of America,1985,233940000
United States of America,1986,236352000
United States of America,1987,238673000
United States of America,1988,241033000
United States of America,1989,243543000
United States of America,1990,246366000
United States of America,1991,249802000
United States of America,1992,253319000
United States of America,1993,257032000
United States of America,1994,260527000
United States of America,1995,264020000
United States of America,1996,267301000
United States of America,1997,270667000
United States of America,1998,274123000
United States of America,1999,277547000
United States of America,2000,280817000
United States of America,2001,283980000
United States of America,2002,286961000
United States of America,2003,289740000
United States of America,2004,292480000
United States of America,2005,295416000
United States of America,2006,298269000
United States of America,2007,301237000
United States of America,2008,304250000
United States of America,2009,307140000
United States of America,2010,309884000
United States of America,2011,312482000
United States of America,2012,315272000
United States of America,2013,318031000
United States of America,2014,320719000
United States of America,2015,323349000
United States of America,2016,325867000
United States of America,2017,328553000
United States of America,2018,331029000
United States of America,2019,333251000
United States of America,2020,335388000
United States of America,2021,336496000